"","year","region","state","state_code","sex","V1"
"1",2000,"Center West","Mato Grosso do Sul",50,"female",77.6344221742384
"2",2001,"Center West","Mato Grosso do Sul",50,"female",77.1452630124377
"3",2002,"Center West","Mato Grosso do Sul",50,"female",76.8357605047617
"4",2003,"Center West","Mato Grosso do Sul",50,"female",76.1446368190242
"5",2004,"Center West","Mato Grosso do Sul",50,"female",76.4447374722552
"6",2005,"Center West","Mato Grosso do Sul",50,"female",76.8313620456603
"7",2006,"Center West","Mato Grosso do Sul",50,"female",77.1117728132018
"8",2007,"Center West","Mato Grosso do Sul",50,"female",76.7154278305841
"9",2008,"Center West","Mato Grosso do Sul",50,"female",77.6186273851713
"10",2009,"Center West","Mato Grosso do Sul",50,"female",77.1889164666456
"11",2010,"Center West","Mato Grosso do Sul",50,"female",77.0545645520651
"12",2011,"Center West","Mato Grosso do Sul",50,"female",77.8166267706749
"13",2012,"Center West","Mato Grosso do Sul",50,"female",77.9407313276129
"14",2013,"Center West","Mato Grosso do Sul",50,"female",78.2031748258435
"15",2014,"Center West","Mato Grosso do Sul",50,"female",78.260115740638
"16",2015,"Center West","Mato Grosso do Sul",50,"female",78.271842464254
"17",2000,"Center West","Mato Grosso do Sul",50,"male",69.3344067395715
"18",2001,"Center West","Mato Grosso do Sul",50,"male",69.860880700784
"19",2002,"Center West","Mato Grosso do Sul",50,"male",69.9939906868204
"20",2003,"Center West","Mato Grosso do Sul",50,"male",69.5236035862292
"21",2004,"Center West","Mato Grosso do Sul",50,"male",69.0580779897222
"22",2005,"Center West","Mato Grosso do Sul",50,"male",69.6870279833077
"23",2006,"Center West","Mato Grosso do Sul",50,"male",69.7784811022361
"24",2007,"Center West","Mato Grosso do Sul",50,"male",69.9822849136846
"25",2008,"Center West","Mato Grosso do Sul",50,"male",70.0482075142978
"26",2009,"Center West","Mato Grosso do Sul",50,"male",70.3857043580927
"27",2010,"Center West","Mato Grosso do Sul",50,"male",70.0144515717884
"28",2011,"Center West","Mato Grosso do Sul",50,"male",70.6365105256819
"29",2012,"Center West","Mato Grosso do Sul",50,"male",70.7392829592378
"30",2013,"Center West","Mato Grosso do Sul",50,"male",70.9271771336719
"31",2014,"Center West","Mato Grosso do Sul",50,"male",71.426705495534
"32",2015,"Center West","Mato Grosso do Sul",50,"male",71.822322511303
"33",2000,"Center West","Mato Grosso",51,"female",76.1932225050212
"34",2001,"Center West","Mato Grosso",51,"female",76.3539260880602
"35",2002,"Center West","Mato Grosso",51,"female",75.9866999043843
"36",2003,"Center West","Mato Grosso",51,"female",76.414245530588
"37",2004,"Center West","Mato Grosso",51,"female",75.7790431704573
"38",2005,"Center West","Mato Grosso",51,"female",76.4959625972129
"39",2006,"Center West","Mato Grosso",51,"female",76.3719455238474
"40",2007,"Center West","Mato Grosso",51,"female",77.2394197781532
"41",2008,"Center West","Mato Grosso",51,"female",77.1003940930812
"42",2009,"Center West","Mato Grosso",51,"female",76.6437434540536
"43",2010,"Center West","Mato Grosso",51,"female",76.6397414940523
"44",2011,"Center West","Mato Grosso",51,"female",76.957469656088
"45",2012,"Center West","Mato Grosso",51,"female",76.7835840056764
"46",2013,"Center West","Mato Grosso",51,"female",76.9403884988821
"47",2014,"Center West","Mato Grosso",51,"female",76.9260476505081
"48",2015,"Center West","Mato Grosso",51,"female",76.9874532895391
"49",2000,"Center West","Mato Grosso",51,"male",68.0422476498279
"50",2001,"Center West","Mato Grosso",51,"male",68.6017417473639
"51",2002,"Center West","Mato Grosso",51,"male",68.3164146972247
"52",2003,"Center West","Mato Grosso",51,"male",68.566753570964
"53",2004,"Center West","Mato Grosso",51,"male",68.3414028602073
"54",2005,"Center West","Mato Grosso",51,"male",68.6836052577755
"55",2006,"Center West","Mato Grosso",51,"male",69.4612567475123
"56",2007,"Center West","Mato Grosso",51,"male",70.0559212250722
"57",2008,"Center West","Mato Grosso",51,"male",69.1213753106861
"58",2009,"Center West","Mato Grosso",51,"male",69.55589995379
"59",2010,"Center West","Mato Grosso",51,"male",69.3816369690969
"60",2011,"Center West","Mato Grosso",51,"male",69.5695663746839
"61",2012,"Center West","Mato Grosso",51,"male",69.5772621208293
"62",2013,"Center West","Mato Grosso",51,"male",69.805264442012
"63",2014,"Center West","Mato Grosso",51,"male",69.4246106873107
"64",2015,"Center West","Mato Grosso",51,"male",70.133640620508
"65",2000,"Center West","Goiás",52,"female",76.4250732188623
"66",2001,"Center West","Goiás",52,"female",76.2984207110286
"67",2002,"Center West","Goiás",52,"female",75.8313963782808
"68",2003,"Center West","Goiás",52,"female",76.2882724990537
"69",2004,"Center West","Goiás",52,"female",75.8944606358677
"70",2005,"Center West","Goiás",52,"female",76.8454623562062
"71",2006,"Center West","Goiás",52,"female",76.9454433084236
"72",2007,"Center West","Goiás",52,"female",77.0919448104783
"73",2008,"Center West","Goiás",52,"female",76.8148842336699
"74",2009,"Center West","Goiás",52,"female",77.1673364486739
"75",2010,"Center West","Goiás",52,"female",76.7537641550532
"76",2011,"Center West","Goiás",52,"female",76.7673142887073
"77",2012,"Center West","Goiás",52,"female",76.5225673379389
"78",2013,"Center West","Goiás",52,"female",76.8250716005371
"79",2014,"Center West","Goiás",52,"female",76.8213753787104
"80",2015,"Center West","Goiás",52,"female",77.1296549034645
"81",2000,"Center West","Goiás",52,"male",69.2598380700872
"82",2001,"Center West","Goiás",52,"male",69.4411017413769
"83",2002,"Center West","Goiás",52,"male",68.943389892996
"84",2003,"Center West","Goiás",52,"male",69.5453559594986
"85",2004,"Center West","Goiás",52,"male",69.0525502336191
"86",2005,"Center West","Goiás",52,"male",69.8949027300638
"87",2006,"Center West","Goiás",52,"male",70.3470785189676
"88",2007,"Center West","Goiás",52,"male",70.3456865844575
"89",2008,"Center West","Goiás",52,"male",69.986724961022
"90",2009,"Center West","Goiás",52,"male",70.3742149027315
"91",2010,"Center West","Goiás",52,"male",69.92089663328
"92",2011,"Center West","Goiás",52,"male",69.6158728709649
"93",2012,"Center West","Goiás",52,"male",69.2458237695585
"94",2013,"Center West","Goiás",52,"male",69.7098856908165
"95",2014,"Center West","Goiás",52,"male",69.6019967838988
"96",2015,"Center West","Goiás",52,"male",69.6040775417007
"97",2000,"Center West","Distrito Federal",53,"female",77.6986608967748
"98",2001,"Center West","Distrito Federal",53,"female",77.5865509408632
"99",2002,"Center West","Distrito Federal",53,"female",77.2118587476211
"100",2003,"Center West","Distrito Federal",53,"female",78.0405237565939
"101",2004,"Center West","Distrito Federal",53,"female",77.264619895595
"102",2005,"Center West","Distrito Federal",53,"female",78.0871737590907
"103",2006,"Center West","Distrito Federal",53,"female",78.3224138401073
"104",2007,"Center West","Distrito Federal",53,"female",78.4390543975494
"105",2008,"Center West","Distrito Federal",53,"female",78.6740766586455
"106",2009,"Center West","Distrito Federal",53,"female",79.3118607461665
"107",2010,"Center West","Distrito Federal",53,"female",79.3086444319569
"108",2011,"Center West","Distrito Federal",53,"female",79.6478216879923
"109",2012,"Center West","Distrito Federal",53,"female",80.2806133319746
"110",2013,"Center West","Distrito Federal",53,"female",80.4422641597784
"111",2014,"Center West","Distrito Federal",53,"female",80.7112390078085
"112",2015,"Center West","Distrito Federal",53,"female",81.1759484707817
"113",2000,"Center West","Distrito Federal",53,"male",69.5146270130211
"114",2001,"Center West","Distrito Federal",53,"male",69.6391387530622
"115",2002,"Center West","Distrito Federal",53,"male",69.4805073645803
"116",2003,"Center West","Distrito Federal",53,"male",69.7565848421252
"117",2004,"Center West","Distrito Federal",53,"male",69.7544139894319
"118",2005,"Center West","Distrito Federal",53,"male",70.5608597761646
"119",2006,"Center West","Distrito Federal",53,"male",71.2640818014335
"120",2007,"Center West","Distrito Federal",53,"male",71.4379930274926
"121",2008,"Center West","Distrito Federal",53,"male",71.4466490959669
"122",2009,"Center West","Distrito Federal",53,"male",71.8006116199236
"123",2010,"Center West","Distrito Federal",53,"male",72.0995067281941
"124",2011,"Center West","Distrito Federal",53,"male",72.3180876690187
"125",2012,"Center West","Distrito Federal",53,"male",72.9326947048767
"126",2013,"Center West","Distrito Federal",53,"male",73.7585893091844
"127",2014,"Center West","Distrito Federal",53,"male",73.7051043411872
"128",2015,"Center West","Distrito Federal",53,"male",74.7136819026811
"129",2000,"North","Rondônia",11,"female",76.1284298853792
"130",2001,"North","Rondônia",11,"female",75.0269417697875
"131",2002,"North","Rondônia",11,"female",75.5828895094961
"132",2003,"North","Rondônia",11,"female",75.6365840042093
"133",2004,"North","Rondônia",11,"female",75.8285282771592
"134",2005,"North","Rondônia",11,"female",76.4422572880742
"135",2006,"North","Rondônia",11,"female",76.9646474941797
"136",2007,"North","Rondônia",11,"female",77.9438482187389
"137",2008,"North","Rondônia",11,"female",77.3067618290305
"138",2009,"North","Rondônia",11,"female",77.1467966165972
"139",2010,"North","Rondônia",11,"female",76.8400721216382
"140",2011,"North","Rondônia",11,"female",77.0733979633205
"141",2012,"North","Rondônia",11,"female",76.7952165079274
"142",2013,"North","Rondônia",11,"female",77.2028393059567
"143",2014,"North","Rondônia",11,"female",77.5656480153852
"144",2015,"North","Rondônia",11,"female",77.3327982161209
"145",2000,"North","Rondônia",11,"male",67.4347050493783
"146",2001,"North","Rondônia",11,"male",66.9909251596418
"147",2002,"North","Rondônia",11,"male",67.7852323602941
"148",2003,"North","Rondônia",11,"male",67.1911997383638
"149",2004,"North","Rondônia",11,"male",67.671406015372
"150",2005,"North","Rondônia",11,"male",68.3590494333756
"151",2006,"North","Rondônia",11,"male",69.2278334573851
"152",2007,"North","Rondônia",11,"male",71.3715214350169
"153",2008,"North","Rondônia",11,"male",70.1070859922866
"154",2009,"North","Rondônia",11,"male",69.3537396002198
"155",2010,"North","Rondônia",11,"male",69.0531746293356
"156",2011,"North","Rondônia",11,"male",70.4585731976453
"157",2012,"North","Rondônia",11,"male",69.7004064637119
"158",2013,"North","Rondônia",11,"male",70.3582936341901
"159",2014,"North","Rondônia",11,"male",70.4092311341157
"160",2015,"North","Rondônia",11,"male",70.4841208161093
"161",2000,"North","Acre",12,"female",74.6630788456014
"162",2001,"North","Acre",12,"female",75.502522466423
"163",2002,"North","Acre",12,"female",76.5379918753678
"164",2003,"North","Acre",12,"female",75.7947943410046
"165",2004,"North","Acre",12,"female",75.544890445537
"166",2005,"North","Acre",12,"female",75.0651867655039
"167",2006,"North","Acre",12,"female",75.5751902384955
"168",2007,"North","Acre",12,"female",76.033911588103
"169",2008,"North","Acre",12,"female",76.4122094454228
"170",2009,"North","Acre",12,"female",76.1234376972284
"171",2010,"North","Acre",12,"female",76.0050159616681
"172",2011,"North","Acre",12,"female",76.1502736512087
"173",2012,"North","Acre",12,"female",76.3912355624784
"174",2013,"North","Acre",12,"female",76.1867847138681
"175",2014,"North","Acre",12,"female",76.0546704120986
"176",2015,"North","Acre",12,"female",76.1396725342902
"177",2000,"North","Acre",12,"male",68.6169800047239
"178",2001,"North","Acre",12,"male",68.4040275290687
"179",2002,"North","Acre",12,"male",68.1871129376698
"180",2003,"North","Acre",12,"male",68.7594371546576
"181",2004,"North","Acre",12,"male",68.1830641644831
"182",2005,"North","Acre",12,"male",68.0485132846482
"183",2006,"North","Acre",12,"male",68.737271907303
"184",2007,"North","Acre",12,"male",68.5545431884754
"185",2008,"North","Acre",12,"male",68.6733051846097
"186",2009,"North","Acre",12,"male",69.3403886818788
"187",2010,"North","Acre",12,"male",69.1742237286771
"188",2011,"North","Acre",12,"male",68.9714642910649
"189",2012,"North","Acre",12,"male",68.5395254312886
"190",2013,"North","Acre",12,"male",69.1725901592942
"191",2014,"North","Acre",12,"male",69.1441040489134
"192",2015,"North","Acre",12,"male",69.5116672506279
"193",2000,"North","Amazonas",13,"female",75.9096718533641
"194",2001,"North","Amazonas",13,"female",75.7493576714094
"195",2002,"North","Amazonas",13,"female",76.2753448327725
"196",2003,"North","Amazonas",13,"female",76.6549149692318
"197",2004,"North","Amazonas",13,"female",76.6516340766712
"198",2005,"North","Amazonas",13,"female",76.5036570217438
"199",2006,"North","Amazonas",13,"female",76.2836798320049
"200",2007,"North","Amazonas",13,"female",76.3695159505303
"201",2008,"North","Amazonas",13,"female",76.1102142240417
"202",2009,"North","Amazonas",13,"female",76.3644033683096
"203",2010,"North","Amazonas",13,"female",76.809134057501
"204",2011,"North","Amazonas",13,"female",76.4813368341846
"205",2012,"North","Amazonas",13,"female",76.097453901196
"206",2013,"North","Amazonas",13,"female",76.6193730787546
"207",2014,"North","Amazonas",13,"female",76.5416636731497
"208",2015,"North","Amazonas",13,"female",76.4223187898557
"209",2000,"North","Amazonas",13,"male",69.4114912715988
"210",2001,"North","Amazonas",13,"male",69.7021570941712
"211",2002,"North","Amazonas",13,"male",69.8814692377574
"212",2003,"North","Amazonas",13,"male",70.1321628961173
"213",2004,"North","Amazonas",13,"male",70.0230502438069
"214",2005,"North","Amazonas",13,"male",70.3620360214451
"215",2006,"North","Amazonas",13,"male",70.2191307822085
"216",2007,"North","Amazonas",13,"male",70.7811968946496
"217",2008,"North","Amazonas",13,"male",70.2008303504796
"218",2009,"North","Amazonas",13,"male",70.3667220160092
"219",2010,"North","Amazonas",13,"male",70.4096721536758
"220",2011,"North","Amazonas",13,"male",69.8947746830088
"221",2012,"North","Amazonas",13,"male",69.9304867234644
"222",2013,"North","Amazonas",13,"male",69.9010363807117
"223",2014,"North","Amazonas",13,"male",69.7132174824468
"224",2015,"North","Amazonas",13,"male",69.5787283813941
"225",2000,"North","Roraima",14,"female",74.1233860799237
"226",2001,"North","Roraima",14,"female",76.0180750279949
"227",2002,"North","Roraima",14,"female",75.1241468064259
"228",2003,"North","Roraima",14,"female",74.2140098879192
"229",2004,"North","Roraima",14,"female",75.1731870577544
"230",2005,"North","Roraima",14,"female",74.4408706775352
"231",2006,"North","Roraima",14,"female",74.9015231573419
"232",2007,"North","Roraima",14,"female",75.3828445209011
"233",2008,"North","Roraima",14,"female",76.1347361538767
"234",2009,"North","Roraima",14,"female",75.6565218522608
"235",2010,"North","Roraima",14,"female",75.7583485381868
"236",2011,"North","Roraima",14,"female",76.3053141071931
"237",2012,"North","Roraima",14,"female",75.1098795018208
"238",2013,"North","Roraima",14,"female",74.9321568514834
"239",2014,"North","Roraima",14,"female",74.9429176032173
"240",2015,"North","Roraima",14,"female",75.236811005904
"241",2000,"North","Roraima",14,"male",68.1572411470774
"242",2001,"North","Roraima",14,"male",69.346157517062
"243",2002,"North","Roraima",14,"male",69.4288201855487
"244",2003,"North","Roraima",14,"male",68.8544180477134
"245",2004,"North","Roraima",14,"male",68.7265471206512
"246",2005,"North","Roraima",14,"male",69.2920022996434
"247",2006,"North","Roraima",14,"male",68.7902325868006
"248",2007,"North","Roraima",14,"male",69.6794634892246
"249",2008,"North","Roraima",14,"male",70.1071583415765
"250",2009,"North","Roraima",14,"male",70.3435222492223
"251",2010,"North","Roraima",14,"male",69.4875246366306
"252",2011,"North","Roraima",14,"male",70.421763385576
"253",2012,"North","Roraima",14,"male",69.5718606524202
"254",2013,"North","Roraima",14,"male",68.6297235133434
"255",2014,"North","Roraima",14,"male",69.1325249496364
"256",2015,"North","Roraima",14,"male",68.5676692115832
"257",2000,"North","Pará",15,"female",75.7036187078314
"258",2001,"North","Pará",15,"female",74.414391464994
"259",2002,"North","Pará",15,"female",75.8360565465406
"260",2003,"North","Pará",15,"female",74.8555810721057
"261",2004,"North","Pará",15,"female",75.1349676693176
"262",2005,"North","Pará",15,"female",75.3826278967109
"263",2006,"North","Pará",15,"female",75.5018735195263
"264",2007,"North","Pará",15,"female",75.410669834413
"265",2008,"North","Pará",15,"female",75.2387756130191
"266",2009,"North","Pará",15,"female",75.3480391559559
"267",2010,"North","Pará",15,"female",75.816988172769
"268",2011,"North","Pará",15,"female",75.3271107911746
"269",2012,"North","Pará",15,"female",75.3253503347
"270",2013,"North","Pará",15,"female",75.7141061887449
"271",2014,"North","Pará",15,"female",75.7766550125515
"272",2015,"North","Pará",15,"female",75.582525662608
"273",2000,"North","Pará",15,"male",69.4464326446698
"274",2001,"North","Pará",15,"male",68.4972955973611
"275",2002,"North","Pará",15,"male",68.9985962171706
"276",2003,"North","Pará",15,"male",68.135394279924
"277",2004,"North","Pará",15,"male",68.0903147467196
"278",2005,"North","Pará",15,"male",68.1344448459459
"279",2006,"North","Pará",15,"male",68.17924573922
"280",2007,"North","Pará",15,"male",68.4940158972739
"281",2008,"North","Pará",15,"male",67.6962332292382
"282",2009,"North","Pará",15,"male",67.7592916174063
"283",2010,"North","Pará",15,"male",67.338960949195
"284",2011,"North","Pará",15,"male",67.8080506341917
"285",2012,"North","Pará",15,"male",67.6956109767906
"286",2013,"North","Pará",15,"male",67.9285256895279
"287",2014,"North","Pará",15,"male",67.6749039608909
"288",2015,"North","Pará",15,"male",67.4880626070962
"289",2000,"North","Amapá",16,"female",77.985165821401
"290",2001,"North","Amapá",16,"female",75.0792263320363
"291",2002,"North","Amapá",16,"female",76.7348932557691
"292",2003,"North","Amapá",16,"female",76.9761645943179
"293",2004,"North","Amapá",16,"female",77.094127509597
"294",2005,"North","Amapá",16,"female",79.9573706605649
"295",2006,"North","Amapá",16,"female",79.396759379114
"296",2007,"North","Amapá",16,"female",79.2234339641424
"297",2008,"North","Amapá",16,"female",77.70887478601
"298",2009,"North","Amapá",16,"female",78.8491986270618
"299",2010,"North","Amapá",16,"female",78.1644777529577
"300",2011,"North","Amapá",16,"female",76.5693304645239
"301",2012,"North","Amapá",16,"female",76.8963548510542
"302",2013,"North","Amapá",16,"female",77.340078760954
"303",2014,"North","Amapá",16,"female",76.1668938053942
"304",2015,"North","Amapá",16,"female",76.9850824714981
"305",2000,"North","Amapá",16,"male",67.9528855134559
"306",2001,"North","Amapá",16,"male",66.7868695694208
"307",2002,"North","Amapá",16,"male",66.8652540007032
"308",2003,"North","Amapá",16,"male",68.605706999916
"309",2004,"North","Amapá",16,"male",68.2439477914233
"310",2005,"North","Amapá",16,"male",70.2476152508551
"311",2006,"North","Amapá",16,"male",71.1724170341165
"312",2007,"North","Amapá",16,"male",70.4634362929534
"313",2008,"North","Amapá",16,"male",69.5417674104025
"314",2009,"North","Amapá",16,"male",69.0927739008764
"315",2010,"North","Amapá",16,"male",70.5748162962407
"316",2011,"North","Amapá",16,"male",68.8763875447005
"317",2012,"North","Amapá",16,"male",68.5873787224809
"318",2013,"North","Amapá",16,"male",68.6210305047995
"319",2014,"North","Amapá",16,"male",68.7103134752225
"320",2015,"North","Amapá",16,"male",68.6380316326724
"321",2000,"North","Tocantins",17,"female",75.8426352708017
"322",2001,"North","Tocantins",17,"female",74.954188815695
"323",2002,"North","Tocantins",17,"female",75.3886019427381
"324",2003,"North","Tocantins",17,"female",75.9492925415544
"325",2004,"North","Tocantins",17,"female",75.5415032852541
"326",2005,"North","Tocantins",17,"female",76.2984509723504
"327",2006,"North","Tocantins",17,"female",76.6163690883928
"328",2007,"North","Tocantins",17,"female",76.1175184373132
"329",2008,"North","Tocantins",17,"female",76.3183443493775
"330",2009,"North","Tocantins",17,"female",76.2679674905913
"331",2010,"North","Tocantins",17,"female",76.398835010415
"332",2011,"North","Tocantins",17,"female",76.2196067690515
"333",2012,"North","Tocantins",17,"female",76.5669154234611
"334",2013,"North","Tocantins",17,"female",76.9364972405998
"335",2014,"North","Tocantins",17,"female",76.8599274911625
"336",2015,"North","Tocantins",17,"female",76.5572245524259
"337",2000,"North","Tocantins",17,"male",71.8209564834002
"338",2001,"North","Tocantins",17,"male",70.683907923352
"339",2002,"North","Tocantins",17,"male",71.2703772050991
"340",2003,"North","Tocantins",17,"male",70.8856120573441
"341",2004,"North","Tocantins",17,"male",70.9674923802144
"342",2005,"North","Tocantins",17,"male",71.6314575615602
"343",2006,"North","Tocantins",17,"male",71.6231283801128
"344",2007,"North","Tocantins",17,"male",70.9632525219809
"345",2008,"North","Tocantins",17,"male",70.8368933523991
"346",2009,"North","Tocantins",17,"male",70.7845373544498
"347",2010,"North","Tocantins",17,"male",70.2225267321274
"348",2011,"North","Tocantins",17,"male",70.449269419516
"349",2012,"North","Tocantins",17,"male",71.1837356150463
"350",2013,"North","Tocantins",17,"male",70.809610483428
"351",2014,"North","Tocantins",17,"male",70.9189239990404
"352",2015,"North","Tocantins",17,"male",71.1276307388533
"353",2000,"Northeast","Maranhão",21,"female",81.1662813228822
"354",2001,"Northeast","Maranhão",21,"female",77.0267494997258
"355",2002,"Northeast","Maranhão",21,"female",76.3488575451053
"356",2003,"Northeast","Maranhão",21,"female",76.0211121154912
"357",2004,"Northeast","Maranhão",21,"female",76.285263564891
"358",2005,"Northeast","Maranhão",21,"female",76.0049832579462
"359",2006,"Northeast","Maranhão",21,"female",77.2517501568357
"360",2007,"Northeast","Maranhão",21,"female",76.7857003503354
"361",2008,"Northeast","Maranhão",21,"female",76.3601944532077
"362",2009,"Northeast","Maranhão",21,"female",76.6238637880239
"363",2010,"Northeast","Maranhão",21,"female",76.9224326174292
"364",2011,"Northeast","Maranhão",21,"female",75.7126727722589
"365",2012,"Northeast","Maranhão",21,"female",76.1634401538433
"366",2013,"Northeast","Maranhão",21,"female",75.6972046079919
"367",2014,"Northeast","Maranhão",21,"female",75.6744452803237
"368",2015,"Northeast","Maranhão",21,"female",75.058484469305
"369",2000,"Northeast","Maranhão",21,"male",77.7239851334837
"370",2001,"Northeast","Maranhão",21,"male",72.8348841047409
"371",2002,"Northeast","Maranhão",21,"male",71.7244111631007
"372",2003,"Northeast","Maranhão",21,"male",71.3833588129763
"373",2004,"Northeast","Maranhão",21,"male",71.4185422098157
"374",2005,"Northeast","Maranhão",21,"male",70.8040375503095
"375",2006,"Northeast","Maranhão",21,"male",72.0092354120147
"376",2007,"Northeast","Maranhão",21,"male",71.4529173121235
"377",2008,"Northeast","Maranhão",21,"male",70.7994872299487
"378",2009,"Northeast","Maranhão",21,"male",70.899313962737
"379",2010,"Northeast","Maranhão",21,"male",71.0131505308968
"380",2011,"Northeast","Maranhão",21,"male",69.8466647776532
"381",2012,"Northeast","Maranhão",21,"male",70.2392212357186
"382",2013,"Northeast","Maranhão",21,"male",69.3591050258927
"383",2014,"Northeast","Maranhão",21,"male",68.9326154832838
"384",2015,"Northeast","Maranhão",21,"male",68.9647322202557
"385",2000,"Northeast","Piauí",22,"female",76.8561987768558
"386",2001,"Northeast","Piauí",22,"female",76.8864062356699
"387",2002,"Northeast","Piauí",22,"female",76.8174752642933
"388",2003,"Northeast","Piauí",22,"female",76.3466502296621
"389",2004,"Northeast","Piauí",22,"female",76.9719928869698
"390",2005,"Northeast","Piauí",22,"female",76.8558323283412
"391",2006,"Northeast","Piauí",22,"female",77.1266771017798
"392",2007,"Northeast","Piauí",22,"female",77.0769406991047
"393",2008,"Northeast","Piauí",22,"female",76.7546094015324
"394",2009,"Northeast","Piauí",22,"female",77.2012814827056
"395",2010,"Northeast","Piauí",22,"female",77.4853468549181
"396",2011,"Northeast","Piauí",22,"female",76.7268877453813
"397",2012,"Northeast","Piauí",22,"female",77.0483636286052
"398",2013,"Northeast","Piauí",22,"female",77.0997368840107
"399",2014,"Northeast","Piauí",22,"female",76.7850511378467
"400",2015,"Northeast","Piauí",22,"female",76.7506298018478
"401",2000,"Northeast","Piauí",22,"male",71.1120378082314
"402",2001,"Northeast","Piauí",22,"male",71.1053692266844
"403",2002,"Northeast","Piauí",22,"male",70.9710426530074
"404",2003,"Northeast","Piauí",22,"male",70.5490800836759
"405",2004,"Northeast","Piauí",22,"male",71.2267270285562
"406",2005,"Northeast","Piauí",22,"male",70.4902454674838
"407",2006,"Northeast","Piauí",22,"male",70.394882480051
"408",2007,"Northeast","Piauí",22,"male",70.4839530069024
"409",2008,"Northeast","Piauí",22,"male",70.4486766540809
"410",2009,"Northeast","Piauí",22,"male",70.5547456298296
"411",2010,"Northeast","Piauí",22,"male",70.871095615884
"412",2011,"Northeast","Piauí",22,"male",69.9119372976432
"413",2012,"Northeast","Piauí",22,"male",69.7115150118405
"414",2013,"Northeast","Piauí",22,"male",69.5382201679751
"415",2014,"Northeast","Piauí",22,"male",69.4852198515857
"416",2015,"Northeast","Piauí",22,"male",69.3466252671197
"417",2000,"Northeast","Ceará",23,"female",77.6565572348292
"418",2001,"Northeast","Ceará",23,"female",77.7597873914793
"419",2002,"Northeast","Ceará",23,"female",76.8105202612266
"420",2003,"Northeast","Ceará",23,"female",76.6833247686081
"421",2004,"Northeast","Ceará",23,"female",76.8741605070194
"422",2005,"Northeast","Ceará",23,"female",77.7879028638727
"423",2006,"Northeast","Ceará",23,"female",77.7696528519072
"424",2007,"Northeast","Ceará",23,"female",78.3995736807355
"425",2008,"Northeast","Ceará",23,"female",78.063619113128
"426",2009,"Northeast","Ceará",23,"female",78.1115729559301
"427",2010,"Northeast","Ceará",23,"female",78.8277457304974
"428",2011,"Northeast","Ceará",23,"female",78.2093929092733
"429",2012,"Northeast","Ceará",23,"female",78.5093630454104
"430",2013,"Northeast","Ceará",23,"female",78.1903657635435
"431",2014,"Northeast","Ceará",23,"female",78.638983060553
"432",2015,"Northeast","Ceará",23,"female",77.9919494424748
"433",2000,"Northeast","Ceará",23,"male",71.1378637005013
"434",2001,"Northeast","Ceará",23,"male",70.7465294629784
"435",2002,"Northeast","Ceará",23,"male",69.7330521939885
"436",2003,"Northeast","Ceará",23,"male",69.3992579277427
"437",2004,"Northeast","Ceará",23,"male",69.8600902864029
"438",2005,"Northeast","Ceará",23,"male",70.641098131702
"439",2006,"Northeast","Ceará",23,"male",70.6467638663288
"440",2007,"Northeast","Ceará",23,"male",70.9665490759758
"441",2008,"Northeast","Ceará",23,"male",70.5875180567132
"442",2009,"Northeast","Ceará",23,"male",70.753647664778
"443",2010,"Northeast","Ceará",23,"male",70.8583277995633
